"DATE","TIME","12CO2","12CO2_dry","13CO2","13CO2_dry","Delta_5min","Delta_Raw","H2O","solenoid_valves",,,,,,,,,,,
"2011-08-01","00:30:23,54","448,9767884200","456,5960383300","5,0344415047","5,1197194416","-12,1174203740","-12,6231008020","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:25,30","449,0620538600","456,6827480700","5,0396154621","5,1249810403","-12,1174203740","-12,6231008020","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:26,45","449,3005632900","456,9252975800","5,0383743518","5,1237189069","-12,1266951210","-11,7071938230","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:27,88","449,3005632900","456,9252975800","5,0234614551","5,1085534021","-12,1380081930","-13,8010297860","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:29,29","449,1304011200","456,7522530600","5,0313618258","5,1165875964","-12,1380081930","-13,8010297860","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:30,45","449,3921493100","457,0184349800","5,0289784548","5,1141638537","-12,1451107370","-13,5821052220","1,3136874823","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:31,59","449,3918929000","457,0225691300","5,0051649128","5,0899957949","-12,1759468100","-16,7088494710","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:32,77","448,8461231800","456,4675493300","5,0393428186","5,1247529707","-12,1759468100","-16,7088494710","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:33,90","449,3645973200","456,9948109300","5,0374143325","5,1227917993","-12,1520453560","-11,3562929680","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:35,30","449,3645973200","456,9948109300","5,0297571184","5,1150048056","-12,1605967250","-13,4176479080","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:36,92","449,1408179100","456,7672387500","5,0401886200","5,1256131072","-12,1605967250","-13,4176479080","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:38,16","449,2796242500","456,9083976700","5,0360024098","5,1213559464","-12,1741280530","-12,0570166430","1,3144102832","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:39,29","449,2783637700","456,9287181500","5,0464193227","5,1321916075","-12,1694229130","-11,7416685660","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:40,65","448,7821106900","456,4240304300","5,0353787368","5,1209633684","-12,1694229130","-11,7416685660","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:42,08","449,2465134300","456,8963264600","5,0308291822","5,1163364866","-12,1712523960","-12,2475158940","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:43,42","449,2465134300","456,8963264600","5,0344537579","5,1200226680","-12,1839544600","-13,3611352580","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:45,03","449,0400152600","456,6863185200","5,0361117331","5,1217088232","-12,1839544600","-13,3611352580","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:46,34","449,0219846700","456,6679814600","5,0218897624","5,1072451265","-12,2036271210","-13,6144971390","1,3179634299","4,0000000000",,,,,,,,,,,
"2011-08-01","00:30:47,45","449,0210284100","456,6833917800","5,0199115252","5,1054160825","-12,2253774950","-15,1502033770","1,3206590214","4,0000000000",,,,,,,,,,,
